defined_class	id
http://purl.obolibrary.org/obo/UPHENO_0000170	http://purl.obolibrary.org/obo/BSPO_0000048-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000171	http://purl.obolibrary.org/obo/BSPO_0000049-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000172	http://purl.obolibrary.org/obo/GO_0030728-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000173	http://purl.obolibrary.org/obo/GO_0048137-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000174	http://purl.obolibrary.org/obo/GO_0007610-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000175	http://purl.obolibrary.org/obo/GO_0007611-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000176	http://purl.obolibrary.org/obo/BSPO_0000050-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000177	http://purl.obolibrary.org/obo/GO_0002164-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000178	http://purl.obolibrary.org/obo/GO_0006405-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000179	http://purl.obolibrary.org/obo/GO_0007612-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000180	http://purl.obolibrary.org/obo/GO_0006886-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000181	http://purl.obolibrary.org/obo/GO_0006887-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000182	http://purl.obolibrary.org/obo/GO_0007618-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000183	http://purl.obolibrary.org/obo/GO_0035188-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000184	http://purl.obolibrary.org/obo/BSPO_0000057-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000185	http://purl.obolibrary.org/obo/BSPO_0000058-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000186	http://purl.obolibrary.org/obo/GO_0006406-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000187	http://purl.obolibrary.org/obo/BSPO_0000055-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000188	http://purl.obolibrary.org/obo/BSPO_0000056-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000189	http://purl.obolibrary.org/obo/BSPO_0000053-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000190	http://purl.obolibrary.org/obo/BSPO_0000054-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000191	http://purl.obolibrary.org/obo/BSPO_0000051-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000192	http://purl.obolibrary.org/obo/BSPO_0000052-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000193	http://purl.obolibrary.org/obo/GO_0016459-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000194	http://purl.obolibrary.org/obo/GO_0060255-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000195	http://purl.obolibrary.org/obo/GO_0032940-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000196	http://purl.obolibrary.org/obo/GO_0006412-abnormal.tsv
